Position,X,Y,Z
1,0.688,3.197,0.751
2,0.688,2.602,0.751
3,0.688,1.996,0.751
4,0.688,1.397,0.751
5,0.688,0.797,0.751
6,1.277,3.197,0.751
7,1.277,2.602,0.751
8,1.277,1.996,0.751
9,1.277,1.397,0.751
10,1.277,0.797,0.751
11,1.873,3.197,0.751
12,1.873,2.602,0.751
13,1.873,1.996,0.751
14,1.873,1.397,0.751
15,1.873,0.797,0.751
16,2.478,3.197,0.751
17,2.478,2.602,0.751
18,2.478,1.996,0.751
19,2.478,1.397,0.751
20,2.478,0.797,0.751
21,3.077,3.197,0.751
22,3.077,2.602,0.751
23,3.077,1.996,0.751
24,3.077,1.397,0.751
25,3.077,0.797,0.751
26,3.676,3.197,0.751
27,3.676,2.602,0.751
28,3.676,1.996,0.751
29,3.676,1.397,0.751
30,3.676,0.797,0.751
31,4.267,3.197,0.751
32,4.267,2.602,0.751
33,4.267,1.996,0.751
34,4.267,1.397,0.751
35,4.267,0.797,0.751
36,4.877,3.197,0.751
37,4.877,2.602,0.751
38,4.877,1.996,0.751
39,4.877,1.397,0.751
40,4.877,0.797,0.751
41,5.479,3.197,0.751
42,5.479,2.602,0.751
43,5.479,1.996,0.751
44,5.479,1.397,0.751
45,5.479,0.797,0.751
46,6.081,3.197,0.751
47,6.081,2.602,0.751
48,6.081,1.996,0.751
49,6.081,1.397,0.751
50,6.081,0.797,0.751
51,0.688,3.197,1.881
52,0.688,2.602,1.881
53,0.688,1.996,1.881
54,0.688,1.397,1.881
55,0.688,0.797,1.881
56,1.277,3.197,1.881
57,1.277,2.602,1.881
58,1.277,1.996,1.881
59,1.277,1.397,1.881
60,1.277,0.797,1.881
61,1.873,3.197,1.881
62,1.873,2.602,1.881
63,1.873,1.996,1.881
64,1.873,1.397,1.881
65,1.873,0.797,1.881
66,2.478,3.197,1.881
67,2.478,2.602,1.881
68,2.478,1.996,1.881
69,2.478,1.397,1.881
70,2.478,0.797,1.881
71,3.077,3.197,1.881
72,3.077,2.602,1.881
73,3.077,1.996,1.881
74,3.077,1.397,1.881
75,3.077,0.797,1.881
76,3.676,3.197,1.881
77,3.676,2.602,1.881
78,3.676,1.996,1.881
79,3.676,1.397,1.881
80,3.676,0.797,1.881
81,4.267,3.197,1.881
82,4.267,2.602,1.881
83,4.267,1.996,1.881
84,4.267,1.397,1.881
85,4.267,0.797,1.881
86,4.877,3.197,1.881
87,4.877,2.602,1.881
88,4.877,1.996,1.881
89,4.877,1.397,1.881
90,4.877,0.797,1.881
91,5.479,3.197,1.881
92,5.479,2.602,1.881
93,5.479,1.996,1.881
94,5.479,1.397,1.881
95,5.479,0.797,1.881
96,6.081,3.197,1.881
97,6.081,2.602,1.881
98,6.081,1.996,1.881
99,6.081,1.397,1.881
100,6.081,0.797,1.881
101,0.698,3.197,1.406
102,0.698,2.602,1.406
103,0.698,1.996,1.406
104,0.698,1.397,1.406
105,0.698,0.797,1.406
106,1.287,3.197,1.406
107,1.287,2.602,1.406
108,1.287,1.996,1.406
109,1.287,1.397,1.406
110,1.287,0.797,1.406
111,1.883,3.197,1.406
112,1.883,2.602,1.406
113,1.883,1.996,1.406
114,1.883,1.397,1.406
115,1.883,0.797,1.406
116,2.488,3.197,1.406
117,2.488,2.602,1.406
118,2.488,1.996,1.406
119,2.488,1.397,1.406
120,2.488,0.797,1.406
121,3.087,3.197,1.406
122,3.087,2.602,1.406
123,3.087,1.996,1.406
124,3.087,1.397,1.406
125,3.087,0.797,1.406
126,3.686,3.197,1.406
127,3.686,2.602,1.406
128,3.686,1.996,1.406
129,3.686,1.397,1.406
130,3.686,0.797,1.406
131,4.277,3.197,1.406
132,4.277,2.602,1.406
133,4.277,1.996,1.406
134,4.277,1.397,1.406
135,4.277,0.797,1.406
136,4.887,3.197,1.406
137,4.887,2.602,1.406
138,4.887,1.996,1.406
139,4.887,1.397,1.406
140,4.887,0.797,1.406
141,5.489,3.197,1.406
142,5.489,2.602,1.406
143,5.489,1.996,1.406
144,5.489,1.397,1.406
145,5.489,0.797,1.406
146,6.091,3.197,1.406
147,6.091,2.602,1.406
148,6.091,1.996,1.406
149,6.091,1.397,1.406
150,6.091,0.797,1.406
